"ACTION","REWARD","A0","A1","A2","A3","V"
"0","0.0","0.0112397","0.0175947","-0.048232","0.0223526","-0.00576717"
"3","0.0","0.0273808","0.0345695","-0.0873439","0.0387395","-0.016197"
"2","0.0","0.032054","0.0569222","-0.103651","0.0384906","-0.0242595"
"0","0.0","0.0417586","0.0654605","-0.119014","0.0382899","-0.0365598"
"0","0.0","0.0369063","0.0822479","-0.115677","0.0207608","-0.0491687"
"1","0.0","0.0322249","0.0987235","-0.116005","0.00988293","-0.0667276"
"1","0.0","0.0318984","0.106478","-0.110308","-0.00401618","-0.0774027"
"3","0.0","0.0430538","0.103884","-0.115108","-0.00230856","-0.0866167"
"1","0.0","0.0446654","0.111943","-0.110171","-0.00758589","-0.0919223"
"0","0.0","0.0386713","0.114295","-0.108255","-0.0105476","-0.107337"
"3","0.0","0.043329","0.120728","-0.105141","-0.0142136","-0.110151"
"0","0.0","0.0442984","0.133834","-0.108431","-0.0211691","-0.123498"
"2","0.0","0.0482575","0.143288","-0.106276","-0.0264602","-0.127985"
"3","0.0","0.0421496","0.147333","-0.112593","-0.0261363","-0.131933"
"2","0.0","0.0482362","0.152666","-0.10916","-0.0308886","-0.138087"
"0","0.0","0.0433884","0.15371","-0.114234","-0.0298612","-0.142448"
"3","0.0","0.0486259","0.14679","-0.100557","-0.0337575","-0.146735"
"1","0.0","0.0541768","0.145151","-0.0929857","-0.0398084","-0.150406"
"1","0.0","0.057803","0.151408","-0.0926682","-0.0427453","-0.155718"
"2","0.0","0.0588686","0.154582","-0.0937152","-0.0456946","-0.166454"
"2","0.0","0.0626695","0.148832","-0.0872211","-0.0432172","-0.163202"
"3","0.0","0.0700978","0.137343","-0.0897769","-0.0359155","-0.162786"
"2","0.0","0.0681703","0.138585","-0.0843862","-0.0357536","-0.158472"
"3","0.0","0.0722707","0.131306","-0.0878784","-0.0303097","-0.157793"
"1","0.0","0.0685131","0.135052","-0.0832863","-0.0316088","-0.153586"
"1","0.0","0.0582189","0.133339","-0.0827728","-0.0305835","-0.16019"
"0","0.0","0.0522436","0.122885","-0.0720358","-0.0323576","-0.161483"
"1","0.0","0.0459588","0.122997","-0.0778932","-0.0297725","-0.165873"
"0","0.0","0.0427445","0.11437","-0.071275","-0.0306459","-0.165614"
"0","0.0","0.0384619","0.116136","-0.0795935","-0.0277292","-0.168873"
"0","0.0","0.0439165","0.122077","-0.0838415","-0.0268636","-0.161299"
"0","0.0","0.0372085","0.133112","-0.0988825","-0.0248566","-0.15773"
"0","0.0","0.0419256","0.132808","-0.0918425","-0.028988","-0.156739"
"3","0.0","0.0429791","0.141635","-0.0867096","-0.0286304","-0.169412"
"2","0.0","0.0491053","0.145761","-0.0858916","-0.0338963","-0.17482"
"0","0.0","0.0505568","0.151419","-0.0830606","-0.0333511","-0.184167"
"0","0.0","0.0549522","0.149671","-0.0886646","-0.0287485","-0.1837"
"3","0.0","0.0575796","0.148637","-0.0922595","-0.0246107","-0.182304"
"2","0.0","0.0595607","0.14823","-0.0857677","-0.0237649","-0.18202"
"0","0.0","0.0602757","0.14749","-0.0896613","-0.0201467","-0.179458"
"2","0.0","0.0602826","0.146857","-0.0922055","-0.0171789","-0.177437"
"1","0.0","0.0610117","0.154778","-0.0867599","-0.0184568","-0.178856"
"1","0.0","0.0533753","0.156414","-0.0820995","-0.0254099","-0.179079"
"2","0.0","0.0481627","0.155896","-0.0828102","-0.0311667","-0.181074"
"3","0.0","0.0555976","0.14766","-0.0776782","-0.03557","-0.179374"
"1","0.0","0.0499761","0.148771","-0.0796373","-0.0386773","-0.182531"
"2","0.0","0.0478512","0.144997","-0.076006","-0.0447876","-0.178683"
"0","0.0","0.0479157","0.14167","-0.0800808","-0.0339363","-0.171808"
"2","0.0","0.0540212","0.138072","-0.0738965","-0.0363284","-0.17249"
"2","0.0","0.0402869","0.13382","-0.0848219","-0.0327687","-0.171395"
